Title;HELLOKITTY;;;;;;
ParentID;org:HELLO_KITTY_INTL_S1;;;;;;
ID;org:HELLO_KITTY_INTL_S1_101;;;;;;
Episode;101;;;;;;
Sequence;1;;;;;;
Genres;av_genre_kids;av_subgenre_animation_adventure;;;;;
ReleaseYear;2022;;;;;;
ReleaseDate;12/30/22;;;;;;
OriginalLanguage;en-US;;;;;;
OrganizationID;amazonkids;;;;;;
Copyright;2022 Watch Next Media;;;;;;
;;;;;;;
ReleaseHistory;Type;Territory;Date;;;;
;Original;US;12/30/22;;;;
;;;;;;;
LocalizedInfo;Language;TitleDisplay;Summary;;;;
;en-US;ローラースケート;チェリータウンは、ブギウギローラースケートパーティーで大盛り上がり！しかしゾンティは、ローラースケートが怖いのでパーティに行くことを嫌がっています。ハローキティの助けを借りて、ゾンティは自信を持ってパーティを楽しむことができるようになるでしょうか？;;;;
;;;;;;;
AltIDs;Namespace;Identifier;;;;;
;ORG;HELLO_KITTY_INTL_S1_101;;;;;
;;;;;;;
Ratings;Country;System;Value;Reason;;;
;JP;EIRIN;G;V;;;
;;;;;;;
People;Job;BillingOrder;Names;;;;
;Actor;1;en-US,Sarah Williams;;;;
;Actor;2;en-US,Gary Mack;;;;
;Actor;3;en-US,Lindsay Sheppard;;;;
;Actor;4;en-US,Billy Bob Thompson;;;;
;Actor;5;en-US,Kara Edwards;;;;
;Actor;6;en-US,Nicholas Andrew Louie;;;;
;Actor;7;en-US,Kaylin Clinton;;;;
;Actor;8;en-US,Nophi Mitchell;;;;
;Writer;1;en-US,Myles McLeod;;;;
;Director;1;en-US,Jérémy Guiter;;;;
;Director;2;en-US,Sylvain Rohart;;;;
;Producer;1;en-US,Philippe Alessandri;;;;
;Producer;2;en-US,Massimo Carrier Ragazzi;;;;
;Producer;3;en-US,Giorgio Welter;;;;
;;;;;;;
CompanyCredits;Language;Credit;;;;;
;en-US;Watch Next Media;;;;;
;;;;;;;
Resources;Type;Language;Filename;Codec;Resolution;Framerate;Aspect
;video;en-US;AMAZONKIDS_HELLOKITTY_SEASON1_101_EN-US_5120_25_1920x1080_16x9_HD_178.mov;PRORESHQ;1920x1080;25;16x9
;audio;en-US;AMAZONKIDS_HELLOKITTY_SEASON1_101_EN-US_5120_25_1920x1080_16x9_HD_178.mov;PCM;NA;NA;NA
;subtitle;en-US;AMAZONKIDS_HELLOKITTY_SEASON1_101_EN-US_FULL_SUBTITLE_25.itt;SDH;NA;25;NA
;;;;;;;
ArtReference;Resolution;Purpose;Filename;;;;
